매장명,위도,경도,구,주소,전화번호,매장타입
봉천역,37.4820375340064,126.942287792538,관악구,서울특별시 관악구 남부순환로 1730 (봉천동),1522-3232,general
봉천현대시장,37.48665266827689,126.94829614696478,관악구,"서울특별시 관악구 은천로 118 (봉천동), 1층 일부",1522-3232,general
건국대,37.5415592,127.0711244,광진구,서울특별시 광진구 능동로 117 (화양동),1522-3232,general
어린이대공원역,37.551946,127.076404,광진구,서울특별시 광진구 능동로 243 (군자동),1522-3232,general
아차산역,37.55062116262961,127.09003207951664,광진구,서울특별시 광진구 천호대로 676 (구의동),1522-3232,general
올림픽대교북단,37.541129,127.09524,광진구,서울특별시 광진구 광나루로 608 (구의동),1522-3232,general
구의DT,37.54529838924125,127.0871967283424,광진구,서울특별시 광진구 광나루로 519 (구의동),1522-3232,generalDT
자양사거리,37.5371158,127.0825821,광진구,서울특별시 광진구 아차산로 355,1522-3232,general
군자역,37.557026068940765,127.07910984029934,광진구,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,1522-3232,general
광나루,37.5473711178786,127.106048727555,광진구,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",1522-3232,general
건대스타시티,37.538544,127.073009,광진구,서울특별시 광진구 아차산로 262 (자양동),1522-3232,general
건대입구,37.5406604,127.07072249999999,광진구,서울특별시 광진구 능동로 107 (화양동),1522-3232,general
구의역,37.53698,127.084015,광진구,서울특별시 광진구 아차산로 373 (구의동),1522-3232,general
광장,37.54261257747251,127.09964053100874,광진구,서울특별시 광진구 아차산로 537-17 (광장동),1522-3232,general
건국클래식,37.538466,127.071271,광진구,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,1522-3232,general
건대후문,37.54603056145237,127.07381934747977,광진구,서울특별시 광진구 능동로 172 (화양동),1522-3232,general
중곡역,37.565057005115804,127.08445231025851,광진구,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",1522-3232,general
자양이마트,37.537817,127.072597,광진구,서울특별시 광진구 아차산로 272 (자양동) 지하1층,1522-3232,general
자양역,37.532684640479,127.067878503557,광진구,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",1522-3232,general
화양삼거리,37.54774853077512,127.07126924540047,광진구,서울특별시 광진구 광나루로 374 (화양동),1522-3232,general
군자사거리,37.55769507399991,127.079087912222,광진구,서울특별시 광진구 천호대로 549 (중곡동) 1층,1522-3232,general
금천구청역,37.45588672536701,126.89568245942294,금천구,"서울특별시 금천구 시흥대로73길 67 (시흥동), 엠메디컬타워 1층",1522-3232,general
가산에스케이,37.48082408602027,126.88100079322535,금천구,"서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층",1522-3232,general
독산사거리,37.47158263368701,126.89860551804541,금천구,서울특별시 금천구 시흥대로 426 (독산동),1522-3232,general
금천시흥,37.44875938266414,126.90323875981919,금천구,서울특별시 금천구 시흥대로 164 (시흥동),1522-3232,general
가산디지털단지역,37.48135375445197,126.88358906045958,금천구,"서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층",1522-3232,general
금천독산,37.46957081,126.89565779,금천구,서울특별시 금천구 두산로 70 (독산동),1522-3232,general
가산디지털,37.479970085901,126.882507193785,금천구,"서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층",1522-3232,general
마리오아울렛,37.47860691180926,126.88484825777416,금천구,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,1522-3232,general
가산브이타워,37.47700409645337,126.88355058577785,금천구,"서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층",1522-3232,general
가산그레이트,37.47955080325422,126.88727191931528,금천구,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",1522-3232,general
독산역,37.46770966619833,126.88767404102677,금천구,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 1층",1522-3232,general
가산퍼블릭,37.47574363470601,126.88684803652211,금천구,"서울특별시 금천구 디지털로 178 (가산동), B동 F Park 1층",1522-3232,general
가산현대아울렛,37.477680443,126.888840553,금천구,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",1522-3232,general
가산케이에스,37.48089352069766,126.88515566597013,금천구,"서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층",1522-3232,general
가산어반워크,37.4800231711237,126.878250987906,금천구,서울특별시 금천구 가산디지털2로 135 (가산동),1522-3232,general
월계역,37.6295,127.0574,노원구,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",1522-3232,general
월계트레이더스,37.628005505180184,127.06135422465171,노원구,서울특별시 노원구 마들로3길 15 (월계동),1522-3232,general
상계초교사거리,37.656776,127.066442,노원구,서울특별시 노원구 노원로 449 (상계동),1522-3232,general
공릉DT,37.6206884,127.0743116,노원구,서울특별시 노원구 동일로 1015 (공릉동),1522-3232,generalDT
노원마들역,37.66102597066783,127.05807772069322,노원구,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",1522-3232,general
공릉역,37.626337,127.072252,노원구,서울특별시 노원구 동일로 1081 (공릉동),1522-3232,general
