,시도,우편번호,법정동주소,Latitude,Longitude,도로명주소,사용승인일,동수,세대수,최고층수,단지명
80,부산광역시,49090.0,부산광역시 영도구 청학동 69-83 영도미주비치아파트,35.0873153,129.0656728,부산광역시 영도구 일산봉로 62,19990802.0,2,418,25,영도미주비치아파트
81,부산광역시,49086.0,부산광역시 영도구 청학동 489-30 원우엔리치빌,35.0854444,129.0625173,부산광역시 영도구 조내기로 38,20040709.0,5,490,18,원우엔리치빌
82,부산광역시,49086.0,부산광역시 영도구 청학동 85 일신마리나,35.0867555,129.0638781,부산광역시 영도구 조내기로 33,19940111.0,3,355,23,일신마리나
83,부산광역시,49010.0,부산광역시 영도구 청학동 537 청학 우성 스마트시티 뷰 아파트,35.0914605,129.0613241,부산광역시 영도구 태종로 405,20220524.0,2,262,35,청학 우성 스마트시티 뷰 아파트
84,부산광역시,49090.0,부산광역시 영도구 청학동 69-93 청학동한일유앤아이아파트,35.0869466,129.0656954,부산광역시 영도구 일산봉로 58,20050817.0,2,210,20,청학동한일유앤아이아파트
85,부산광역시,49010.0,부산광역시 영도구 청학동 48 청학삼창아파트,35.0923147,129.0665615,부산광역시 영도구 광암길 6,19951229.0,1,175,14,청학삼창아파트
86,부산광역시,49021.0,부산광역시 영도구 청학동 536 청학영도신도브래뉴,35.0970002,129.0558306,부산광역시 영도구 태종로 260,20090730.0,11,508,20,청학영도신도브래뉴
87,부산광역시,49088.0,부산광역시 영도구 청학동 62-60 한라비치아파트,35.0893984,129.0676448,부산광역시 영도구 태종로 428,19940514.0,1,299,24,한라비치아파트
88,부산광역시,49097.0,부산광역시 영도구 동삼동 265 경전아파트,35.0805384,129.0714502,부산광역시 영도구 동삼동로 10,19931014.0,2,224,16,경전아파트
89,부산광역시,49116.0,부산광역시 영도구 동삼동 510-33 국제마마뉴비치,35.0732337,129.0692006,부산광역시 영도구 중리로 32,19950703.0,6,522,15,국제마마뉴비치
90,부산광역시,49113.0,부산광역시 영도구 동삼동 1124-6 도시공사동삼1지구영구임대아파트,35.0721754,129.0625483,부산광역시 영도구 함지로 35,19940506.0,3,400,14,도시공사동삼1지구영구임대아파트
91,부산광역시,49114.0,부산광역시 영도구 동삼동 510 도시공사동삼2지구영구임대아파트,35.068379,129.0830071,부산광역시 영도구 함지로79번길 53,19951020.0,7,1120,20,도시공사동삼2지구영구임대아파트
92,부산광역시,49089.0,부산광역시 영도구 동삼동 1123 동삼그린힐,35.085495,129.06739,부산광역시 영도구 상리로 1,19930922.0,17,2088,15,동삼그린힐
93,부산광역시,49108.0,부산광역시 영도구 동삼동 510-37 동삼절영3차,35.0741693,129.071987,부산광역시 영도구 와치로 287,19971227.0,2,360,20,동삼절영3차
94,부산광역시,49109.0,부산광역시 영도구 동삼동 423-4 롯데캐슬블루오션 아파트,35.0708907,129.0745195,부산광역시 영도구 절영로 524,20170829.0,5,381,25,롯데캐슬블루오션 아파트
95,부산광역시,49120.0,부산광역시 영도구 동삼동 1124-2 반도보라비치타운,35.0715591,129.0595323,부산광역시 영도구 함지로 19,19941114.0,3,320,24,반도보라비치타운
96,부산광역시,49093.0,부산광역시 영도구 동삼동 1121 부산동삼1,35.0832776,129.0675007,부산광역시 영도구 동삼북로 2,19911115.0,4,976,15,부산동삼1
97,부산광역시,49089.0,부산광역시 영도구 동삼동 1123 부산동삼2주공,35.068379,129.0830071,부산광역시 영도구 상리로 1,19931020.0,9,1968,15,부산동삼2주공
98,부산광역시,49128.0,부산광역시 영도구 동삼동 1180 부산오션시티푸르지오,35.0693069999999,129.0833812,부산광역시 영도구 동삼오션로 30,20220428.0,4,846,49,부산오션시티푸르지오
99,부산광역시,49122.0,부산광역시 영도구 동삼동 679-1 삼창그린타운,35.0711533,129.0751857,부산광역시 영도구 태종로700번길 19,19961231.0,2,174,15,삼창그린타운
