"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001470","서천초등학교","02","공립","N","","1","17","17","1","17","17","1","19","19","2","33","16.5","2","31","15.5","2","34","17","1","4","4","0","0","0","10","155","15.5","12","12.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001471","송도초등학교","02","공립","N","","3","68","22.7","4","80","20","4","75","18.8","4","81","20.3","4","79","19.8","3","74","24.7","2","7","3.5","0","0","0","24","464","19.3","28","16.6"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001472","승학초등학교","02","공립","N","","1","22","22","2","42","21","2","43","21.5","3","54","18","2","37","18.5","3","59","19.7","1","7","7","0","0","0","14","264","18.9","16","16.5"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001473","신남초등학교","02","공립","N","","3","67","22.3","3","61","20.3","3","72","24","4","87","21.8","4","80","20","4","82","20.5","2","9","4.5","0","0","0","23","458","19.9","29","15.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001474","신선초등학교","02","공립","N","","1","2","2","1","4","4","1","2","2","1","2","2","1","10","10","1","7","7","1","2","2","0","0","0","7","29","4.1","9","3.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001475","신촌초등학교","02","공립","N","","1","9","9","1","12","12","1","14","14","1","16","16","1","15","15","1","22","22","2","6","3","0","0","0","8","94","11.8","9","10.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001476","신평초등학교","02","공립","N","","4","79","19.8","4","83","20.8","5","103","20.6","4","79","19.8","4","86","21.5","4","79","19.8","1","5","5","0","0","0","26","514","19.8","32","16.1"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001477","아미초등학교","02","공립","N","","1","5","5","1","3","3","1","6","6","1","6","6","1","5","5","1","3","3","1","4","4","0","0","0","7","32","4.6","9","3.6"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001478","영도초등학교","02","공립","N","","2","39","19.5","2","35","17.5","2","33","16.5","2","40","20","3","53","17.7","2","51","25.5","1","5","5","0","0","0","14","256","18.3","17","15.1"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001480","옥천초등학교","02","공립","N","","3","65","21.7","4","80","20","3","78","26","4","84","21","4","101","25.3","5","124","24.8","1","6","6","0","0","0","24","538","22.4","29","18.6"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001481","응봉초등학교","02","공립","N","","1","21","21","1","18","18","1","20","20","2","27","13.5","2","30","15","2","43","21.5","1","5","5","0","0","0","10","164","16.4","12","13.7"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001482","장림초등학교","02","공립","N","","4","79","19.8","4","79","19.8","4","96","24","4","90","22.5","4","96","24","4","98","24.5","2","13","6.5","0","0","0","26","551","21.2","33","16.7"
