매장명,구,주소,위도,경도
스타벅스마곡나루공원,강서구,서울특별시 강서구 마곡중앙5로 47 (마곡동),37.567007,126.822246
스타벅스송정역,강서구,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부",37.56105570786667,126.81150987871888
스타벅스강서구청사거리,강서구,서울특별시 강서구 화곡로 350 (화곡동),37.5549266,126.8523133
스타벅스낙성대역,관악구,서울특별시 관악구 남부순환로 1908 (봉천동),37.47776012993906,126.96114261955483
스타벅스관악서울대입구R,관악구,서울특별시 관악구 관악로 158 (봉천동),37.47932480888598,126.95270199623683
스타벅스신림DT,관악구,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407
스타벅스서울대역,관악구,서울특별시 관악구 남부순환로 1817 (봉천동),37.48166265091104,126.9520164977362
스타벅스낙성대DT,관악구,서울특별시 관악구 남부순환로 1948 (봉천동),37.476243169019526,126.96511724631266
스타벅스사당,관악구,서울특별시 관악구 남부순환로 2082-25,37.476137,126.980928
스타벅스보라매대교,관악구,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,37.491449,126.925432
스타벅스신림,관악구,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602
스타벅스신림타임스트림,관악구,서울특별시 관악구 신림로 330 타임스트림 1층,37.48407101920536,126.93025831103375
스타벅스서울대입구역,관악구,서울특별시 관악구 남부순환로 1812 (봉천동),37.481207389699065,126.95140060487287
스타벅스서울대입구역8번출구,관악구,서울특별시 관악구 남부순환로 1831 (봉천동),37.4812061,126.9536942
스타벅스봉천역,관악구,서울특별시 관악구 남부순환로 1730 (봉천동),37.4820375340064,126.942287792538
스타벅스봉천현대시장,관악구,"서울특별시 관악구 은천로 118 (봉천동), 1층 일부",37.48665266827689,126.94829614696478
스타벅스건국대,광진구,서울특별시 광진구 능동로 117 (화양동),37.5415592,127.0711244
스타벅스어린이대공원역,광진구,서울특별시 광진구 능동로 243 (군자동),37.551946,127.076404
스타벅스아차산역,광진구,서울특별시 광진구 천호대로 676 (구의동),37.55062116262961,127.09003207951665
스타벅스올림픽대교북단,광진구,서울특별시 광진구 광나루로 608 (구의동),37.541129,127.09524
스타벅스구의DT,광진구,서울특별시 광진구 광나루로 519 (구의동),37.54529838924125,127.0871967283424
스타벅스자양사거리,광진구,서울특별시 광진구 아차산로 355,37.5371158,127.0825821
스타벅스군자역,광진구,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.557026068940765,127.07910984029934
스타벅스광나루,광진구,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.5473711178786,127.106048727555
스타벅스건대스타시티,광진구,서울특별시 광진구 아차산로 262 (자양동),37.538544,127.073009
스타벅스건대입구,광진구,서울특별시 광진구 능동로 107 (화양동),37.5406604,127.0707225
스타벅스구의역,광진구,서울특별시 광진구 아차산로 373 (구의동),37.53698,127.084015
